startTime,settlementDate,settlementPeriod,GAS,OTHER
2023-03-25 21:30:00,2023-03-25,44,841.992,46.642
2023-03-25 22:00:00,2023-03-25,45,1446.133,58.217
2023-03-25 22:30:00,2023-03-25,46,1301.192,43.667
2023-03-25 23:00:00,2023-03-25,47,1796.59,56.433
2023-03-25 23:30:00,2023-03-25,48,3083.458,0.0
2023-03-26 00:00:00,2023-03-26,1,4114.158,40.05
2023-03-26 00:30:00,2023-03-26,2,4033.802,18.125
2023-03-26 01:00:00,2023-03-26,3,3083.08,58.242
2023-03-26 01:30:00,2023-03-26,4,2730.058,707.139
2023-03-26 02:00:00,2023-03-26,5,2816.95,243.444
2023-03-26 02:30:00,2023-03-26,6,1798.715,-41.75
2023-03-26 03:00:00,2023-03-26,7,3163.99,-29.625
2023-03-26 03:30:00,2023-03-26,8,3977.051,-60.075
2023-03-26 04:00:00,2023-03-26,9,4368.083,-23.925
2023-03-26 04:30:00,2023-03-26,10,4056.455,-141.108
2023-03-26 05:00:00,2023-03-26,11,4597.148,0.0
2023-03-26 05:30:00,2023-03-26,12,3664.285,-59.083
2023-03-26 06:00:00,2023-03-26,13,3249.435,85.575
2023-03-26 06:30:00,2023-03-26,14,2291.432,1184.625
2023-03-26 07:00:00,2023-03-26,15,2589.444,1204.825
2023-03-26 07:30:00,2023-03-26,16,3213.168,257.425
2023-03-26 08:00:00,2023-03-26,17,2773.701,265.842
2023-03-26 08:30:00,2023-03-26,18,2701.234,180.767
2023-03-26 09:00:00,2023-03-26,19,1184.993,-0.008
2023-03-26 09:30:00,2023-03-26,20,802.654,57.308
2023-03-26 10:00:00,2023-03-26,21,344.275,188.877
2023-03-26 10:30:00,2023-03-26,22,808.527,131.557
2023-03-26 11:00:00,2023-03-26,23,470.387,138.708
2023-03-26 11:30:00,2023-03-26,24,1080.398,66.133
2023-03-26 12:00:00,2023-03-26,25,1630.309,45.108
2023-03-26 12:30:00,2023-03-26,26,1195.265,46.5
2023-03-26 13:00:00,2023-03-26,27,1122.873,54.25
2023-03-26 13:30:00,2023-03-26,28,1511.164,84.217
2023-03-26 14:00:00,2023-03-26,29,2164.269,210.358
2023-03-26 14:30:00,2023-03-26,30,3980.024,315.959
2023-03-26 15:00:00,2023-03-26,31,3989.024,331.019
2023-03-26 15:30:00,2023-03-26,32,4606.059,416.661
2023-03-26 16:00:00,2023-03-26,33,4604.135,481.642
2023-03-26 16:30:00,2023-03-26,34,4509.039,315.002
2023-03-26 17:00:00,2023-03-26,35,3734.929,148.078
2023-03-26 17:30:00,2023-03-26,36,3498.585,200.69
2023-03-26 18:00:00,2023-03-26,37,3795.339,178.769
