SP,IP,IV,MP,MV,FW,AW,WE,FS,AS,SE,DE,DRM,ICD,NBM
1.0,0.09905276784709156,0.058784801620978384,0.14813768527026996,0.34086826206943427,0.027630638422234125,0.04343324492423218,0.013521635050911097,0.11299357971470257,0.1387434672562426,0.07627233820384284,-0.35847153720456554,-0.413534319976032,-0.006407510663275024,0.039587050656898895
0.09905276784709156,1.0,0.5739756107016192,0.8225587167150559,0.23614702466441037,0.007411340181488051,-0.035317598412154635,-0.08095119950265876,-0.020394261867849806,-0.019729846743018007,-0.08850558429277207,-0.12237290323610239,-0.25304577703904507,0.0005243459607906249,-0.020298098640323628
0.058784801620978384,0.5739756107016192,1.0,0.25676409544092416,0.07881587276603755,0.041486547675046906,0.0028636263761811155,-0.11204369626463137,-0.03410439259335548,-0.035415974203665455,-0.12343420071122897,-0.019465706594300716,-0.12279045321629975,-0.019311910009125206,0.10518250877973354
0.14813768527026996,0.8225587167150559,0.25676409544092416,1.0,0.3161401989007497,-0.010542322222165603,-0.05873038168826009,-0.059848748768387916,0.0007042933123482755,0.005336087691427437,-0.0519613650113335,-0.20818917881876933,-0.3173227805211393,0.014800874391528152,-0.06243064918231616
0.34086826206943427,0.23614702466441037,0.07881587276603755,0.3161401989007497,1.0,0.3473322030169898,0.22324710172957943,-0.2594707241196409,0.2622213894406808,0.25497141861011313,-0.006849876941281809,-0.21453922705772893,-0.09331276007915083,0.013967448525038813,-0.037189341020313404
0.027630638422234125,0.007411340181488051,0.041486547675046906,-0.010542322222165603,0.3473322030169898,1.0,0.8202291488785457,-0.6979499357368174,-0.11236323762538085,-0.12010732651176467,-0.006389097970325954,0.11620257873756508,0.5140774476564368,-0.01711769747929347,-0.05694966019625157
0.04343324492423218,-0.035317598412154635,0.0028636263761811155,-0.05873038168826009,0.22324710172957943,0.8202291488785457,1.0,-0.28983505675383847,-0.13720754498263027,-0.13964414033399056,0.012590627936369204,0.07274598187305768,0.4326525550212485,-0.016564549310847825,-0.02810842824798428
0.013521635050911097,-0.08095119950265876,-0.11204369626463137,-0.059848748768387916,-0.2594707241196409,-0.6979499357368174,-0.28983505675383847,1.0,0.04901340768407556,0.062085975395752155,0.035044891909988836,-0.09073258928902754,-0.3602531696175372,0.010943239408564606,0.048009097384091946
0.11299357971470257,-0.020394261867849806,-0.03410439259335548,0.0007042933123482755,0.2622213894406808,-0.11236323762538085,-0.13720754498263027,0.04901340768407556,1.0,0.9635192551081782,-0.14227549949993443,-0.26265365237181443,-0.291831170276454,0.06841517899853346,0.054619280591899376
0.1387434672562426,-0.019729846743018007,-0.035415974203665455,0.005336087691427437,0.25497141861011313,-0.12010732651176467,-0.13964414033399056,0.062085975395752155,0.9635192551081782,1.0,-0.004132899492736984,-0.2863475907215341,-0.3192680995458496,0.06374297552831842,0.06010294211956324
0.07627233820384284,-0.08850558429277207,-0.12343420071122897,-0.0519613650113335,-0.006849876941281809,-0.006389097970325954,0.012590627936369204,0.035044891909988836,-0.14227549949993443,-0.004132899492736984,1.0,-0.14237752982738744,0.007505248356298278,-0.05959792162824133,-0.03751100798577006
-0.35847153720456554,-0.12237290323610239,-0.019465706594300716,-0.20818917881876933,-0.21453922705772893,0.11620257873756508,0.07274598187305768,-0.09073258928902754,-0.26265365237181443,-0.2863475907215341,-0.14237752982738744,1.0,0.2892004270571453,-0.06700274684721694,0.005548800982973218
-0.413534319976032,-0.25304577703904507,-0.12279045321629975,-0.3173227805211393,-0.09331276007915083,0.5140774476564368,0.4326525550212485,-0.3602531696175372,-0.291831170276454,-0.3192680995458496,0.007505248356298278,0.2892004270571453,1.0,-0.028196122308781046,-0.11366091603889439
-0.006407510663275024,0.0005243459607906249,-0.019311910009125206,0.014800874391528152,0.013967448525038813,-0.01711769747929347,-0.016564549310847825,0.010943239408564606,0.06841517899853346,0.06374297552831842,-0.05959792162824133,-0.06700274684721694,-0.028196122308781046,1.0,0.013592288909386694
0.039587050656898895,-0.020298098640323628,0.10518250877973354,-0.06243064918231616,-0.037189341020313404,-0.05694966019625157,-0.02810842824798428,0.048009097384091946,0.054619280591899376,0.06010294211956324,-0.03751100798577006,0.005548800982973218,-0.11366091603889439,0.013592288909386694,1.0
