IP,IV,MP,MV,FW,AW,WE,FS,AS,SE,DE,DRM,ICD,NBM,SP
1.0,0.08153899632706212,0.9297332436647078,0.31149923260790474,0.0790213817428429,0.014017206441342533,-0.1303810162762242,0.022488403867947968,0.020441015301446167,-0.05890825686510021,-0.12777701067112235,-0.2161962114713069,0.011985836104008845,-0.10153297516815112,0.08601232278646272
0.08153899632706212,1.0,0.07046736766395213,0.02444582202245509,0.15521227180305872,0.13235032269401495,-0.14248020815174084,0.010573310821407772,0.006581787530938236,-0.07307848236136852,-0.022617095942525575,0.008391344909833358,-0.019002208697246677,0.07870059688593915,0.038228780962772005
0.9297332436647078,0.07046736766395213,1.0,0.3173163682814208,0.03288379684685277,-0.02378458920914343,-0.09654301939692708,0.011864391262778575,0.013926480996125288,-0.049795711831221424,-0.18565012866821148,-0.2636527503965733,0.018138109899175612,-0.10505269422201738,0.11261862313515034
0.31149923260790474,0.02444582202245509,0.3173163682814208,1.0,0.34884537383157266,0.2180548299949442,-0.276445360865421,0.24179405654166788,0.23676896188648217,-0.042884090629280586,-0.18395867035989075,-0.08159414609891466,0.020532953251365872,-0.052332058933559036,0.30759240579042774
0.0790213817428429,0.15521227180305872,0.03288379684685277,0.34884537383157266,1.0,0.8299744811352576,-0.7127434917008598,-0.11820552086901766,-0.12151636388659788,0.017786462357842845,0.08198644461717257,0.5220344388265304,0.005473707769054016,-0.06880766995009681,0.040166194023795745
0.014017206441342533,0.13235032269401495,-0.02378458920914343,0.2180548299949442,0.8299744811352576,1.0,-0.30533569531177335,-0.14610740758608248,-0.14436622756782666,0.035193745541827866,0.044582494364298564,0.43274388649618223,1.7449289921902314e-05,-0.03129548311107495,0.04743016400532118
-0.1303810162762242,-0.14248020815174084,-0.09654301939692708,-0.276445360865421,-0.7127434917008598,-0.30533569531177335,1.0,0.05202379496970637,0.06205131276494145,0.014461645462588315,-0.07168981911392527,-0.37668127616570835,-0.006549460042370548,0.06673344285349897,-0.0018352277540979107
0.022488403867947968,0.010573310821407772,0.011864391262778575,0.24179405654166788,-0.11820552086901766,-0.14610740758608248,0.05202379496970637,1.0,0.9586088371131364,-0.3209480285435675,-0.14025374686866626,-0.27716274236769634,0.06685722602576046,0.06895989402454232,0.036007493399677674
0.020441015301446167,0.006581787530938236,0.013926480996125288,0.23676896188648217,-0.12151636388659788,-0.14436622756782666,0.06205131276494145,0.9586088371131364,1.0,-0.17625421692150808,-0.1619004894826814,-0.3050951116941642,0.06242351414582639,0.07788280049383203,0.07174100177345269
-0.05890825686510021,-0.07307848236136852,-0.049795711831221424,-0.042884090629280586,0.017786462357842845,0.035193745541827866,0.014461645462588315,-0.3209480285435675,-0.17625421692150808,1.0,-0.12324356338133692,0.03208910622614267,-0.06444021745612513,-0.03696165211149464,0.10214070776246867
-0.12777701067112235,-0.022617095942525575,-0.18565012866821148,-0.18395867035989075,0.08198644461717257,0.044582494364298564,-0.07168981911392527,-0.14025374686866626,-0.1619004894826814,-0.12324356338133692,1.0,0.28465859663390924,-0.05065198702703416,0.013001136415123776,-0.3184788926831594
-0.2161962114713069,0.008391344909833358,-0.2636527503965733,-0.08159414609891466,0.5220344388265304,0.43274388649618223,-0.37668127616570835,-0.27716274236769634,-0.3050951116941642,0.03208910622614267,0.28465859663390924,1.0,-0.010809054313856589,-0.12518041134559915,-0.3899746246420912
0.011985836104008845,-0.019002208697246677,0.018138109899175612,0.020532953251365872,0.005473707769054016,1.7449289921902314e-05,-0.006549460042370548,0.06685722602576046,0.06242351414582639,-0.06444021745612513,-0.05065198702703416,-0.010809054313856589,1.0,0.017526260439398138,-0.04146808629026536
-0.10153297516815112,0.07870059688593915,-0.10505269422201738,-0.052332058933559036,-0.06880766995009681,-0.03129548311107495,0.06673344285349897,0.06895989402454232,0.07788280049383203,-0.03696165211149464,0.013001136415123776,-0.12518041134559915,0.017526260439398138,1.0,0.03146232875132274
0.08601232278646272,0.038228780962772005,0.11261862313515034,0.30759240579042774,0.040166194023795745,0.04743016400532118,-0.0018352277540979107,0.036007493399677674,0.07174100177345269,0.10214070776246867,-0.3184788926831594,-0.3899746246420912,-0.04146808629026536,0.03146232875132274,1.0
